,reviewid,Energy,Danceability,Happiness,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Key,Tempo,Duration
16118,6722.0,0.5933999999999999,0.5955,0.41600000000000004,-11.589899999999998,0.20317449999999998,0.7743999999999999,0.24958999999999998,0.04833,5.0,134.6094,324672.0
16119,3228.0,0.43638000000000005,0.6148,0.29761000000000004,-8.936400000000003,0.5327,0.27653300000000003,0.14565,0.028249999999999997,3.6,102.96889999999999,269212.0
16121,7309.0,0.6612941176470588,0.5399411764705883,0.347135294117647,-12.324705882352943,0.38070892941176476,0.7411764705882353,0.2517235294117647,0.24397058823529405,6.9411764705882355,107.06311764705882,234403.82352941178
16122,1685.0,0.434,0.332,0.16896666666666668,-14.159333333333334,0.6753333333333332,0.731,0.11481666666666666,0.04103333333333333,3.3333333333333335,104.46149999999999,424737.8333333333
16124,6188.0,0.59,0.5405,0.5215000000000001,-8.182333333333334,0.34631666666666666,0.1430038133333333,0.15953333333333333,0.0629,7.0,122.96733333333334,198132.0
16125,7613.0,0.42162499999999997,0.46925000000000006,0.3462,-14.1165,0.530625,0.7375,0.1412375,0.0397,3.375,116.146,301471.5
16126,4615.0,0.6492142857142857,0.2749357142857143,0.27600714285714284,-6.356928571428573,0.21166749999999998,0.26152478571428567,0.20414285714285715,0.03666428571428571,4.785714285714286,121.65307142857144,312307.64285714284
16129,4846.0,0.7794166666666668,0.40549999999999997,0.3687333333333333,-7.112333333333335,0.11198733333333333,0.2558616158333333,0.24794999999999998,0.052225,5.916666666666667,119.08116666666662,213847.83333333334
16132,2321.0,0.6434545454545454,0.6770909090909091,0.6175909090909091,-12.268454545454546,0.10061636363636364,0.5420172727272727,0.18424545454545457,0.04529090909090909,5.7272727272727275,128.233,269278.7272727273
16139,8864.0,0.4673846153846154,0.5812307692307692,0.5600846153846154,-13.302615384615384,0.6086923076923076,0.5056170615384615,0.13783846153846155,0.0456,3.4615384615384617,110.93661538461538,288980.53846153844
16141,4515.0,0.8138,0.471,0.4088,-5.5354,0.00699542,0.06332,0.09840000000000002,0.06316000000000001,7.8,129.6074,210525.8
16142,8729.0,0.7123333333333334,0.2793333333333334,0.17773333333333333,-12.151333333333334,0.7613333333333333,0.7423333333333333,0.1376666666666667,0.10806666666666666,5.0,99.00966666666666,376402.3333333333
16143,1861.0,0.5423076923076923,0.5652615384615385,0.3880769230769231,-12.410846153846153,0.4176461538461538,0.7751000000000001,0.19174615384615384,0.06799230769230767,6.0,112.71199999999999,273700.53846153844
16144,6.0,0.46271428571428563,0.30614285714285716,0.0708857142857143,-13.612428571428572,0.7607999999999999,0.6948719999999999,0.11298571428571429,0.08072857142857141,5.428571428571429,138.21357142857144,386581.0
16145,2875.0,0.9471,0.3684,0.6829,-2.8200000000000003,0.210304,3.87e-07,0.20379,0.0932,4.9,151.7978,171708.0
16146,4282.0,0.5591666666666667,0.30916666666666665,0.346425,-8.751583333333334,0.5465083333333333,0.17917326083333332,0.22275,0.047608333333333336,5.416666666666667,121.66416666666665,231044.91666666666
16147,2386.0,0.7857058823529411,0.5315294117647058,0.38414705882352945,-9.604588235294116,0.27682882352941174,0.30026807058823524,0.3641176470588235,0.1898235294117647,5.411764705882353,99.429,223736.41176470587
16150,2450.0,0.5475,0.3765625,0.21116875,-11.255374999999997,0.16285506249999998,0.20691595625,0.2961625,0.0419625,6.125,127.9135,214768.25
16151,5256.0,0.721941176470588,0.6486470588235294,0.6417470588235294,-7.0557647058823525,0.17373764705882352,5.8190000000000004e-05,0.283064705882353,0.23801176470588234,4.470588235294118,107.86558823529408,168711.35294117648
16155,56.0,0.9072727272727273,0.6862727272727273,0.5552909090909091,-5.463363636363636,0.046013636363636375,0.36771545454545457,0.20178181818181817,0.06417272727272726,5.0,133.03527272727274,250743.27272727274
16157,1698.0,0.6615833333333333,0.369,0.2757,-9.1925,0.15740083333333335,0.14856514,0.27829166666666666,0.07890833333333332,6.333333333333333,126.68175000000002,201205.58333333334
16159,674.0,0.5403846153846155,0.4032307692307692,0.3112307692307692,-9.988384615384614,0.09300290000000001,0.028424916153846156,0.16276153846153849,0.03936153846153846,5.538461538461538,109.0416923076923,282066.6923076923
16162,322.0,0.6226923076923077,0.5886153846153847,0.3473846153846154,-10.770000000000001,0.16121061538461537,0.339197,0.19678461538461536,0.10842307692307693,5.230769230769231,115.81846153846155,323423.3846153846
16166,7017.0,0.8250833333333332,0.5454166666666667,0.6394166666666666,-6.150916666666667,0.22868333333333332,0.25012638333333337,0.18969166666666668,0.11049166666666665,5.0,144.40650000000002,211646.75
16167,4090.0,0.7789090909090909,0.4575454545454546,0.5057272727272727,-6.323545454545454,0.3563818181818182,0.1681168981818182,0.23046363636363634,0.07167272727272728,5.909090909090909,131.29309090909092,232442.27272727274
16168,8652.0,0.5947214285714287,0.4817857142857142,0.4035714285714286,-8.8195,0.2724492857142857,0.10818529714285716,0.14499285714285715,0.16287857142857143,4.785714285714286,112.57564285714287,217933.2857142857
16169,1363.0,0.8840833333333334,0.335,0.2875833333333333,-4.536333333333333,0.07053916666666665,0.044133921666666666,0.25875833333333337,0.05783333333333334,7.583333333333333,144.87966666666668,281119.0
16170,4424.0,0.7814705882352943,0.5340588235294117,0.5206294117647059,-7.1160000000000005,0.3031511764705882,0.3720931764705883,0.28350588235294116,0.1244470588235294,6.0,121.83264705882351,204897.17647058822
16171,5817.0,0.3537777777777778,0.42300000000000004,0.43367777777777783,-20.577444444444446,0.6574444444444444,0.44601048888888883,0.19008888888888886,0.13624444444444445,2.7777777777777777,110.21855555555555,446232.6666666667
16173,1268.0,0.3644,0.2454,0.10294,-18.2768,0.8192,0.2417514,0.5578,0.06764,3.4,109.176,506640.0
16174,7441.0,0.583,0.314375,0.22156250000000005,-11.735875,0.5324875000000001,0.6333749999999999,0.19093749999999998,0.1199625,3.75,96.311,386525.0
16175,11858.0,0.5963331250000001,0.44137499999999996,0.16061875,-13.798625000000001,0.4734624999999999,0.4561124999999999,0.18894999999999995,0.18585,2.125,122.21568749999997,222980.8125
16178,5744.0,0.8289411764705882,0.4673529411764705,0.3774117647058824,-4.848705882352941,0.03406177411764705,0.6330660352941178,0.1678529411764706,0.2658235294117647,5.588235294117647,115.02388235294117,72457.94117647059
16179,795.0,0.33164000000000005,0.5633000000000001,0.34876999999999997,-12.792599999999998,0.7502000000000001,0.10087062,0.17172,0.08079,4.5,111.45570000000001,214318.7
16182,1026.0,0.7723076923076921,0.6090769230769231,0.38169230769230766,-8.003923076923076,0.0036479153846153845,0.5173076923076924,0.25887692307692306,0.04797692307692308,5.6923076923076925,107.33353846153844,196632.92307692306
16183,1553.0,0.8308,0.5660666666666666,0.5877333333333332,-3.4620000000000006,0.12649458,0.6351334413333334,0.31922666666666666,0.11900666666666668,4.066666666666666,129.03973333333334,227032.8
16185,7934.0,0.850923076923077,0.36746153846153856,0.534,-6.618153846153845,0.0046076153846153845,0.02999184615384615,0.16294615384615385,0.08627692307692307,4.923076923076923,128.20253846153847,148181.61538461538
16187,8579.0,0.42233333333333334,0.5561999999999999,0.4873333333333333,-11.722733333333334,0.7043666666666667,0.1805952066666667,0.1095933333333333,0.05135333333333334,4.266666666666667,101.9664,176999.86666666667
16188,7319.0,0.7295333333333333,0.6232666666666665,0.4548,-8.586800000000002,0.1962066666666667,0.023862906000000003,0.3235400000000001,0.3081333333333333,7.4,110.68579999999999,219495.26666666666
16193,7278.0,0.4698888888888889,0.4796666666666667,0.34415555555555555,-12.270666666666667,0.531,0.35509888888888885,0.09813333333333334,0.0325,5.888888888888889,106.2761111111111,290469.55555555556
16194,8551.0,0.8414166666666668,0.4655833333333334,0.6780833333333334,-5.348166666666667,0.11795091666666667,0.11941874000000001,0.1938,0.06541666666666666,6.0,128.78875000000002,186893.16666666666
16195,2241.0,0.54149,0.42469999999999997,0.384,-9.352599999999999,0.3096,0.102420959,0.14823000000000003,0.035609999999999996,5.8,128.02659999999997,300476.0
16196,3908.0,0.39130000000000004,0.4585000000000001,0.26369000000000004,-9.553900000000002,0.42879000000000006,0.089138657,0.1494,0.03601,3.0,105.39410000000001,186776.0
16197,6177.0,0.5035,0.5431666666666667,0.3327833333333334,-12.03133333333333,0.3041833333333333,0.8228333333333334,0.09543333333333333,0.03746666666666667,6.166666666666667,102.02516666666666,401967.0
16200,306.0,0.40880406,0.5882,0.26284,-10.368599999999999,0.7384000000000001,0.2970654,0.13466,0.33011999999999997,8.2,108.604,545509.4
16201,5477.0,0.6978461538461539,0.7482307692307691,0.6985384615384616,-7.080846153846154,0.14288148307692308,0.49331561846153854,0.12358461538461538,0.09670769230769231,5.538461538461538,108.70423076923079,266025.76923076925
16204,3843.0,0.20448,0.5218,0.21912000000000004,-13.511500000000002,0.8956,0.017677569999999997,0.11803999999999999,0.03533,3.6,108.51930000000002,297621.4
16206,2839.0,0.4773333333333333,0.4486666666666667,0.2011555555555556,-10.515111111111112,0.5070555555555556,0.6399111111111111,0.14982222222222225,0.029233333333333326,6.444444444444445,131.42966666666666,258265.22222222222
16207,5525.0,0.6699999999999999,0.701,0.5376000000000001,-6.286125,0.06664437499999999,0.33946499999999996,0.24495,0.1559125,6.0,115.55137500000001,501820.0
